"gID";"T";"x";"y";"itemsInCraneID"
0;4547.0;-5;5;2624
0;4609.0;305;5;2624
0;4619.0;305;5;null
0;4681.0;-5;5;null
0;4691.0;-5;5;2625
0;4771.0;395;5;2625
0;4781.0;395;5;null
0;4861.0;-5;5;null
0;4871.0;-5;5;2626
0;5057.0;925;5;2626
0;5067.0;925;5;null
0;5253.0;-5;5;null
0;5263.0;-5;5;2627
0;5455.0;955;5;2627
0;5465.0;955;5;null
0;5657.0;-5;5;null
0;5667.0;-5;5;2628
0;5795.0;635;5;2628
0;5805.0;635;5;null
0;5933.0;-5;5;null
0;5943.0;-5;5;2629
0;6129.0;925;5;2629
0;6139.0;925;5;null
0;6325.0;-5;5;null
0;6335.0;-5;5;2630
0;6507.0;855;5;2630
0;6517.0;855;5;null
0;6689.0;-5;5;null
0;6699.0;-5;5;2631
0;6865.0;825;5;2631
0;6875.0;825;5;null
0;7041.0;-5;5;null
0;7051.0;-5;5;2632
0;7113.0;305;5;2632
0;7123.0;305;5;null
0;7185.0;-5;5;null
0;7195.0;-5;5;2633
0;7325.0;645;5;2633
0;7335.0;645;5;null
0;7465.0;-5;5;null
0;7475.0;-5;5;2634
0;7603.0;635;5;2634
0;7613.0;635;5;null
0;7741.0;-5;5;null
0;7751.0;-5;5;2635
0;7919.0;835;5;2635
0;7929.0;835;5;null
0;8097.0;-5;5;null
0;8107.0;-5;5;2636
0;8181.0;365;5;2636
0;8191.0;365;5;null
0;8265.0;-5;5;null
0;8275.0;-5;5;2637
0;8359.0;415;5;2637
0;8369.0;415;5;null
0;8453.0;-5;5;null
0;8463.0;-5;5;2638
0;8655.0;955;5;2638
0;8665.0;955;5;null
0;8857.0;-5;5;null
0;8867.0;-5;5;2639
0;9055.0;935;5;2639
0;9065.0;935;5;null
0;9077.0;995;15;null
0;9087.0;995;15;898
0;9089.0;1005;5;898
0;9099.0;1005;5;null
0;9253.0;235;5;null
0;9263.0;235;5;2621
0;9327.0;555;15;2621
0;9337.0;555;15;null
0;9401.0;235;5;null
0;9411.0;235;5;2600
0;9565.0;1005;5;2600
0;9575.0;1005;5;null
0;9707.0;345;35;null
0;9717.0;345;35;2189
0;9849.0;1005;5;2189
0;9859.0;1005;5;null
0;9973.0;435;15;null
0;9983.0;435;15;919
0;10059.0;815;25;919
0;10069.0;815;25;null
0;10145.0;435;15;null
0;10155.0;435;15;859
0;10223.0;95;25;859
0;10233.0;95;25;null
0;10301.0;435;15;null
0;10311.0;435;15;616
0;10375.0;115;25;616
0;10385.0;115;25;null
0;10449.0;435;15;null
0;10459.0;435;15;221
0;10573.0;1005;5;221
0;10583.0;1005;5;null
0;10613.0;855;65;null
0;10623.0;855;65;1722
0;10711.0;415;75;1722
0;10721.0;415;75;null
0;10809.0;855;65;null
0;10819.0;855;65;1471
0;10873.0;585;75;1471
0;10883.0;585;75;null
0;10937.0;855;65;null
0;10947.0;855;65;1044
0;10977.0;1005;5;1044
0;10987.0;1005;5;null
0;11121.0;335;25;null
0;11131.0;335;25;2442
0;11209.0;725;35;2442
0;11219.0;725;35;null
0;11297.0;335;25;null
0;11307.0;335;25;1785
0;11389.0;745;35;1785
0;11399.0;745;35;null
0;11481.0;335;25;null
0;11491.0;335;25;1753
0;11625.0;1005;5;1753
0;11635.0;1005;5;null
0;11821.0;75;5;null
0;11831.0;75;5;2607
0;12017.0;1005;5;2607
0;12027.0;1005;5;null
0;12167.0;305;5;null
0;12177.0;305;5;2632
0;12203.0;435;15;2632
0;12213.0;435;15;null
0;12239.0;305;5;null
0;12249.0;305;5;2624
0;12389.0;1005;5;2624
0;12399.0;1005;5;null
0;12565.0;175;55;null
0;12575.0;175;55;1871
0;12711.0;855;65;1871
0;12721.0;855;65;null
0;12857.0;175;55;null
0;12867.0;175;55;1744
0;13033.0;1005;5;1744
0;13043.0;1005;5;null
0;13089.0;775;35;null
0;13099.0;775;35;1347
0;13145.0;1005;5;1347
0;13155.0;1005;5;null
0;13171.0;925;5;null
0;13181.0;925;5;2629
0;13197.0;1005;5;2629
0;13207.0;1005;5;null
0;13281.0;635;85;null
0;13291.0;635;85;1983
0;13341.0;385;95;1983
0;13351.0;385;95;null
0;13401.0;635;85;null
0;13411.0;635;85;1829
0;13485.0;1005;5;1829
0;13495.0;1005;5;null
0;13669.0;135;55;null
0;13679.0;135;55;2488
0;13807.0;775;65;2488
0;13817.0;775;65;null
0;13945.0;135;55;null
0;13955.0;135;55;1761
0;13987.0;295;65;1761
0;13997.0;295;65;null
0;14029.0;135;55;null
0;14039.0;135;55;932
0;14040.0;135;65;932
0;14050.0;135;65;null
0;14051.0;135;55;null
0;14061.0;135;55;876
0;14235.0;1005;5;876
0;14245.0;1005;5;null
0;14417.0;145;25;null
0;14427.0;145;25;2088
0;14599.0;1005;5;2088
0;14609.0;1005;5;null
0;14811.0;-5;5;null
0;14821.0;-5;5;2642
0;14869.0;235;5;2642
0;14879.0;235;5;null
0;14927.0;-5;5;null
0;14937.0;-5;5;2643
0;14953.0;75;5;2643
0;14963.0;75;5;null
0;15137.0;945;95;null
0;15147.0;945;95;2447
0;15283.0;265;85;2447
0;15293.0;265;85;null
